ProductID,ProductName,Category,BasePrice,DiscountAmount,StockQuantity,Description
1a6b586e-653b-4d7e-bed5-ff548bfdcb6f,Seamless maximized access,Home & Kitchen,254.94,46.44,822,Everyone place air reason low well bag service cause.
e6221569-571e-4ed5-914c-aa70b3f54cb8,Streamlined client-server capability,Clothing,nan,nan,904,Our again at reduce citizen quality must bar experience old girl standard today.
cb898d87-eaf9-4604-966e-a5ec8d2c21f6,Managed zero tolerance conglomeration,Books,223.56,22.19,479,Last may feel tend door conference simply difference possible.
800cbbdd-1af3-4cb6-b082-8b5176873768,Innovative logistical portal,Toys,975.55,73.97,589,Technology not near that no garden table magazine also blood.
eee6d8cd-8a78-4db8-b3d4-5085592a0147,Decentralized coherent firmware,Toys,840.51,232.33,592,Watch sure discussion you commercial job wide enough write kid certain full doctor.
2092caae-e5b8-41eb-b176-95d84b18fda0,Proactive full-range complexity,Electronics,844.97,217.21,868,Individual particularly prevent author analysis just another possible rather different.
8b7a93ff-9f51-412f-b450-188c840f9840,Persevering foreground hardware,Electronics,5387.375649690913,1421.03,937,Talk study else laugh however health policy reach memory better.
b9a4b28b-b077-4f48-a22f-27c3b2a0d08a,Self-enabling disintermediate help-desk,Home & Kitchen,379.0,30.93,497,You theory situation view group enjoy action.
089c290e-41d5-405c-ac5a-dfdf075c8c86,Mandatory multi-state forecast,Clothing,904.92,192.86,779,Rich home yard her husband either recently must society should similar ago.
07fc1417-cb66-4d36-bbb9-d80ba06b5833,Balanced client-server orchestration,Sports,144.21,37.11,85,Power item front fire best reduce home another whatever language up.
526e51b5-ada8-4967-9ebd-542f373dc2ab,Organized multi-state knowledge user,Home & Kitchen,177.83,18.97,551,Environment truth pass he child stand agree television likely several think.
a9ebb56c-9f69-4ed1-b265-7760512d0af0,Re-engineered 6thgeneration functionalities,Clothing,246.04,43.95,177,All own how view there personal figure.
4e034d66-6411-48bd-9658-e7cddc2980cb,Versatile cohesive utilization,Books,7570.65008958104,2097.2,431,Item play state party him true above forget change.
03b63f38-63bd-4946-89bd-a14b2e2efa7f,Inverse incremental analyzer,Toys,430.58,77.81,408,Media into product leg scientist page game affect machine.
0d32892d-233e-4136-beb1-ceee1b130214,Self-enabling intermediate toolset,Books,984.23,288.12,935,Religious recently head movement standard might.
414b7c1b-6a98-4671-a182-40fee8c97818,Right-sized motivating solution,Home & Kitchen,655.44,95.16,58,Walk couple technology politics organization best.
ff8fd7ab-b101-4637-8e7b-92513fc68335,Distributed uniform groupware,Beauty,143.89,42.54,898,Better line allow after look education cover source throw fall charge.
3d2a2252-b282-47bc-94e9-a3567eaddb13,Switchable stable encoding,Clothing,106.18,23.96,763,Example who life per either third reduce office yourself candidate statement smile Democrat.
75de4d1e-fd4b-4d10-a8f3-8189e33cf6aa,Re-engineered scalable Graphic Interface,Home & Kitchen,501.9,134.58,478,Anyone tell already summer eat admit only learn than its clear bad.
19fd6955-e3c8-4530-bb5e-2451f26c08fe,Grass-roots modular support,Home & Kitchen,257.88,17.89,245,Information send though admit challenge garden change participant total simple group sea.
0a4c87aa-cf2e-44bf-8804-6b353f97399c,Managed contextually-based utilization,Electronics,401.94,63.75,888,Heavy half thing someone speech entire son place beat.
daae41c4-dce3-4d5a-a0c3-c5253755ad12,Robust maximized instruction set,Home & Kitchen,979.65,141.17,477,On author three similar agree movement science mother.
82e03294-dd23-4266-b19a-4092fa39d12e,Reduced explicit model,Sports,710.16,119.91,539,For technology sit individual letter woman information.
d888d8b3-8a0c-4457-8a61-06e9c8599a45,Open-architected static capacity,Books,92.02,4.82,195,Board American oil energy probably exactly however road hit draw lead wish.
573c49de-3052-4f10-a347-5ce79703d9b9,Intuitive high-level utilization,Beauty,nan,nan,715,Other all certainly this cost your indicate situation situation staff head arm city.
c1087654-17fa-4898-a9b2-e8aeced2f188,Distributed leadingedge Local Area Network,Sports,1918.0095849998736,270.49,786,Wait against sport thousand discussion according will explain current well increase table.
9b7aa2ea-cfe6-45f1-b369-90349c55bf0d,Optional clear-thinking matrices,Books,nan,nan,455,Couple hair when knowledge east human large debate produce.
77a6b828-4af6-4927-94a9-5747cc798433,Triple-buffered static orchestration,Electronics,911.82,159.67,235,To service leg big often notice star guy.
fef54a5c-4339-40f0-b067-4a5a828ec07f,Exclusive logistical moratorium,Home & Kitchen,138.35,31.39,765,Hope instead brother brother technology hair admit all create.
9de41606-29d4-464a-99f1-7f42deabd1fd,Enterprise-wide content-based encryption,Books,973.51,5.56,872,Evening performance own big front would worker production consumer floor which put.
f2fb63e2-8b51-4819-8031-6d3beed5da8d,Phased asymmetric time-frame,Books,870.36,87.44,89,Perform minute can cell young many foot deep where.
2aa05c9c-6f5e-4a15-80be-114a8345c08b,Multi-lateral asymmetric toolset,Electronics,394.35,116.87,625,Draw phone agree truth investment other.
c627c096-205a-4c4d-acbb-0c3d0693c2d8,Re-engineered multi-state knowledgebase,Sports,658.0,175.48,188,Study onto member begin discussion attention.
